اگر نام پوشه این بود,در topics_rel ثبت شود,در cases_rel ثبت شود,در department ثبت شود,در author ثبت شود,در news_type ثبت شود
ابطحی,روحانیون سیاسی,ابطحی,70,عمار,اصل 25
اسفاروف,بین الملل,اسفاروف,60,حمد الله,اصل 25
اسلو,موسسات,اسلو,60,مهدی بصیر,اصل 25
اقبال,روحانیت شاخص,اقبال,50,سید روح الله,اصل 25
امیری فر,روحانیون سیاسی,امیری فر,70,بهشتی,اصل 25
ایازی,روحانیون سیاسی,ایازی,70,بهشتی,اصل 25
ایرج,روحانیت شاخص,ایرج,60,مصطفی غروی,اصل 25
آرش,موسسات,آرش,60,مهدی بصیر,اصل 25
بازرس,روحانیون سیاسی,بازرس,70,عمار,اصل 25
بهار,روحانیون سیاسی,بهار,70,بهشتی,اصل 25
پدرام,موسسات,پدرام,60,مهدی بصیر,اصل 25
پژمان,روحانیون سیاسی,پژمان,70,سبحان,محیط
تابان,موسسات,تابان,60,مهدی بصیر,اصل 25
جنت,روحانیت شاخص,جنت,50,کمیل,اصل 25
جنگل,موسسات,جنگل,60,شیرمردی,محیط
حاضری,روحانیون سیاسی,حاضری,70,عمار,اصل 25
حافظ,روحانیت شاخص,حافظ,50,سید روح الله,اصل 25
حکمت,بین الملل,حکمت,60,طالب,اصل 25
خلیل,روحانیت شاخص,خلیل,50,مصطفی غروی,اصل 25
دردکشان,روحانیون سیاسی,دردکشان,50,زمانی,اصل 25
دری,موسسات,دری,60,شیرمردی,محیط
سراب,موسسات,سراب,60,مرتضی آیت,محیط
سراج,روحانیون سیاسی,سراج,70,عمار,اصل 25
سرائر,بین الملل,سرائر,60,طالب,اصل 25
سعیدیان,روحانیون سیاسی,سعیدیان,60,زمانی,اصل 25
سیامک,موسسات,سیامک,60,مهدی بصیر,اصل 25
سید ابوالفضل موسویان,روحانیون سیاسی,موسویان,60,مهدی بصیر,اصل 25
سید مهدی شهرستانی,روحانیون سیاسی,سید مهدی شهرستانی,70,جابر,محیط
سینا,موسسات,سینا,60,مهدی بصیر,اصل 25
شریف,روحانیون سیاسی,شریف,70,سید محمود,اصل 25
شورا,موسسات,شورا,60,مجتبی صادقی,محیط
شیخ رباط,روحانیون سیاسی,شیخ رباط,60,عمار,اصل 25
صفر,موسسات,صفر,60,حاج اسدالله,محیط
صفین,روحانیون سیاسی,صفین,60,ابوالفضل,محیط
صلواتی,روحانیون سیاسی,صلواتی,50,زمانی,اصل 25
طوسی,موسسات,طوسی,60,مهدی بصیر,اصل 25
عشقعلی,روحانیت شاخص,عشقعلی,50,امیرحسین مصباح,اصل 25
غلام,روحانیت شاخص,غلام,50,صادق,اصل 25
قابل,روحانیون سیاسی,قابل,70,بهشتی,اصل 25
قربان,موسسات,قربان,60,مصطفی غروی,اصل 25
مازنی,روحانیت شاخص,مازنی,70,بهشتی,اصل 25
محفل,روحانیون سیاسی,محفل,70,حسین اسدی,محیط
محلوجی,روحانیت شاخص,محلوجی,50,صادق,اصل 25
مدینه,روحانیت شاخص,مدینه,50,مصطفی غروی,اصل 25
مسیح,روحانیون سیاسی,مسیح,70,عمار,اصل 25
ممتاز,موسسات,ممتاز,60,مهدی بصیر,محیط
منتجب,روحانیون سیاسی,منتجب,70,بهشتی,اصل 25
منتظر القائم,روحانیون سیاسی,منتظر القائم,60,عمار,اصل 25
منصور,روحانیت شاخص,منصور,60,سید محمود,اصل 25
میرزا,روحانیون سیاسی,میرزا,60,حسین اسدی,اصل 25
ناظم,روحانیت شاخص,ناظم,50,سید محمود,اصل 25
نجف,روحانیون سیاسی,نجف,50,زمانی,محیط
نصوص,بین الملل,نصوص,60,علوی,محیط
نواب,موسسات,نواب,60,فاضل,اصل 25
واسع,بین الملل,واسع,60,مصطفی غروی,اصل 25
هم نوا,موسسات,هم نوا,60,مرتضی آیت,اصل 25
یاسر,روحانیت شاخص,یاسر,50,سید روح الله,اصل 25
